v,vw,o,c,h,l,t,n,timestamp
18933.0,190.257,191.52,190.2,191.52,190.0,1704186000000,612,2024-01-02 09:00:00+00:00
8562.0,190.0787,190.11,190.0,190.13,190.0,1704186060000,425,2024-01-02 09:01:00+00:00
5355.0,189.8463,189.9,189.82,189.9,189.82,1704186120000,129,2024-01-02 09:02:00+00:00
4405.0,189.8634,189.87,189.87,189.87,189.8,1704186180000,83,2024-01-02 09:03:00+00:00
2225.0,189.9215,189.9,189.9,189.95,189.9,1704186240000,87,2024-01-02 09:04:00+00:00
3534.0,189.8989,189.9,189.94,189.94,189.82,1704186300000,80,2024-01-02 09:05:00+00:00
1137.0,189.9427,189.95,189.95,189.95,189.94,1704186360000,65,2024-01-02 09:06:00+00:00
2220.0,189.9852,190.0,189.99,190.0,189.99,1704186420000,80,2024-01-02 09:07:00+00:00
1202.0,189.9741,189.99,189.96,189.99,189.96,1704186480000,30,2024-01-02 09:08:00+00:00
543.0,189.9795,189.98,189.98,189.98,189.98,1704186540000,25,2024-01-02 09:09:00+00:00
1217.0,189.9642,189.96,189.97,189.97,189.96,1704186600000,55,2024-01-02 09:10:00+00:00
1054.0,189.9307,189.94,189.92,189.95,189.92,1704186660000,72,2024-01-02 09:11:00+00:00
906.0,189.9109,189.91,189.9,189.91,189.9,1704186780000,38,2024-01-02 09:13:00+00:00
270.0,189.9654,189.97,189.97,189.97,189.97,1704186840000,19,2024-01-02 09:14:00+00:00
1052.0,189.9476,189.97,189.97,189.97,189.97,1704187020000,78,2024-01-02 09:17:00+00:00
2392.0,189.9857,189.97,190.0,190.0,189.97,1704187140000,37,2024-01-02 09:19:00+00:00
901.0,190.0975,190.03,190.03,190.03,190.03,1704187260000,52,2024-01-02 09:21:00+00:00
304.0,190.0547,190.05,190.05,190.05,190.05,1704187320000,13,2024-01-02 09:22:00+00:00
523.0,190.1004,190.1,190.1,190.1,190.1,1704187380000,10,2024-01-02 09:23:00+00:00
703.0,190.1054,190.11,190.1,190.11,190.1,1704187440000,39,2024-01-02 09:24:00+00:00
438.0,190.1044,190.09,190.09,190.09,190.09,1704187500000,26,2024-01-02 09:25:00+00:00
518.0,190.0999,190.1,190.1,190.1,190.1,1704187560000,23,2024-01-02 09:26:00+00:00
671.0,190.1022,190.11,190.1,190.11,190.1,1704187620000,15,2024-01-02 09:27:00+00:00
1439.0,190.0677,190.08,190.05,190.08,190.05,1704187740000,73,2024-01-02 09:29:00+00:00
1271.0,190.0534,190.07,190.05,190.07,190.05,1704187800000,22,2024-01-02 09:30:00+00:00
2154.0,190.0732,190.06,190.09,190.09,190.06,1704187980000,50,2024-01-02 09:33:00+00:00
220.0,190.0729,190.07,190.07,190.07,190.07,1704188100000,17,2024-01-02 09:35:00+00:00
188.0,190.0746,190.08,190.08,190.08,190.08,1704188160000,23,2024-01-02 09:36:00+00:00
2104.0,190.0082,190.02,190.0,190.02,190.0,1704188220000,171,2024-01-02 09:37:00+00:00
846.0,189.9763,189.99,189.99,189.99,189.99,1704188280000,39,2024-01-02 09:38:00+00:00
1092.0,189.9539,189.96,189.95,189.96,189.95,1704188340000,58,2024-01-02 09:39:00+00:00
3261.0,189.8972,189.9,189.88,189.9,189.88,1704188400000,179,2024-01-02 09:40:00+00:00
657.0,189.8918,189.89,189.89,189.89,189.89,1704188640000,19,2024-01-02 09:44:00+00:00
1041.0,189.9121,189.91,189.91,189.91,189.91,1704188760000,14,2024-01-02 09:46:00+00:00
2541.0,189.9016,189.9,189.9,189.9,189.9,1704188820000,42,2024-01-02 09:47:00+00:00
2201.0,189.8982,189.9,189.89,189.9,189.89,1704189300000,85,2024-01-02 09:55:00+00:00
411.0,189.9537,189.95,189.95,189.95,189.95,1704189480000,33,2024-01-02 09:58:00+00:00
1599.0,189.9976,190.0,190.0,190.0,190.0,1704189660000,44,2024-01-02 10:01:00+00:00
483.0,190.0031,190.0,190.0,190.0,190.0,1704189780000,19,2024-01-02 10:03:00+00:00
722.0,190.0422,190.02,190.06,190.06,190.02,1704189900000,24,2024-01-02 10:05:00+00:00
300.0,190.0699,190.08,190.08,190.08,190.08,1704189960000,28,2024-01-02 10:06:00+00:00
448.0,190.098,190.1,190.1,190.1,190.1,1704190080000,15,2024-01-02 10:08:00+00:00
1066.0,190.0896,190.09,190.1,190.1,190.09,1704190140000,28,2024-01-02 10:09:00+00:00
2154.0,190.0965,190.09,190.1,190.1,190.09,1704190260000,40,2024-01-02 10:11:00+00:00
711.0,190.1145,190.12,190.12,190.12,190.12,1704190380000,17,2024-01-02 10:13:00+00:00
286.0,190.1378,190.15,190.15,190.15,190.15,1704190620000,15,2024-01-02 10:17:00+00:00
646.0,190.1577,190.15,190.15,190.15,190.15,1704190680000,43,2024-01-02 10:18:00+00:00
994.0,190.1868,190.19,190.2,190.2,190.19,1704190740000,26,2024-01-02 10:19:00+00:00
232.0,190.2006,190.2,190.2,190.2,190.2,1704190800000,8,2024-01-02 10:20:00+00:00
976.0,190.2404,190.24,190.24,190.24,190.24,1704190860000,20,2024-01-02 10:21:00+00:00
1351.0,190.1238,190.15,190.05,190.15,190.05,1704191220000,74,2024-01-02 10:27:00+00:00
